NA|name unknown|"Colored Quartet" (name unknown)|||0|0|
`Abdu'l-Bahá|`Abdu'l-Bahá|`Abdu'l-Bahá, 1844-1921|1844-1921|1844-1921|14|0|Found: via dates
Gilbert Abbott à Beckett|Gilbert Abbott À Beckett|À Beckett, Gilbert Abbott, 1811-1856||1811-1856|1|0|Found: via work_scan OpenL
NA|A Gentleman of Elvas|A Gentleman of Elvas [pseud.]|||1|0|
Charlotte Maria Tucker|A. L. O. E.|A. L. O. E., 1821-1893|1821-1893|1821-1893|5|1|Found: via dates
George William Russell|A.E.|A.E.|1867-1935||2|1|Found: via manual
NA|A.L.O.C.|A.L.O.C.|||1|0|
NA|Jens Christian Aaberg|Aaberg, J. C. (Jens Christian), 1877-1970||1877-1970|0|0|
Jeppe Aakjær|Jeppe Aakjær|Aakjær, Jeppe, 1866-1930|1866-1930|1866-1930|3|1|Found: via dates
Hans Aanrud|Hans Aanrud|Aanrud, Hans, 1863-1953|1863-1953|1863-1953|1|1|Found: via dates
Alexander Aaronsohn|Alexander Aaronsohn|Aaronsohn, Alexander, 1888-1948|1888-1948|1888-1948|1|1|Found: via dates
Giuseppe Cesare Abba|Giuseppe Cesare Abba|Abba, Giuseppe Cesare, 1838-1910|1838-1910|1838-1910|1|1|Found: via dates
Arnauld Michel d'Abbadie|Arnauld d' Abbadie|Abbadie, Arnauld d', 1815-1894?|1815-1893|1815-1894|1|0|Found: via walk_foreign_articles (fr)
Ernst Abbe|Ernst Abbe|Abbe, Ernst, 1840-1905|1840-1905|1840-1905|1|1|Found: via dates
Henry Abbey|Henry Abbey|Abbey, Henry, 1842-1911|1842-1911|1842-1911|1|0|Found: via dates
Francis Ellingwood Abbot|Francis Ellingwood Abbot|Abbot, Francis Ellingwood, 1836-1903|1836-1903|1836-1903|1|1|Found: via dates
Willis J. Abbot|Willis John Abbot|Abbot, Willis J. (Willis John), 1863-1934|1863-1934|1863-1934|4|1|Found: via dates
Belle Kendrick Abbott|Belle Kendrick Abbott|Abbott, Belle K. (Belle Kendrick)|1842-1893||1|1|Found: via work_scan OpenL
Edwin Abbott Abbott|Edwin Abbott Abbott|Abbott, Edwin Abbott, 1838-1926|1838-1926|1838-1926|3|1|Found: via dates
Eleanor Hallowell Abbott|Eleanor Hallowell Abbott|Abbott, Eleanor Hallowell, 1872-1958|1872-1958|1872-1958|12|1|Found: via dates
Frank Frost Abbott|Frank Frost Abbott|Abbott, Frank Frost, 1860-1924|1860-1924|1860-1924|1|1|Found: via dates
George Frederick Abbott|George Frederick Abbott|Abbott, G. F. (George Frederick)|1874-1947||1|0|Found: via work_scan OpenL
NA|Henry Abbott|Abbott, Henry, 1850-||1850-|6|0|Possible Type 1: Multiple matches see log file
Jacob Abbott|Jacob Abbott|Abbott, Jacob, 1803-1879|1803-1879|1803-1879|51|1|Found: via dates
NA|Jane Abbott|Abbott, Jane, 1881-||1881-|4|0|
John Stevens Cabot Abbott|John Stevens Cabot Abbott|Abbott, John S. C. (John Stevens Cabot), 1805-1877|1805-1877|1805-1877|22|1|Found: via dates
NA|Keene Abbott|Abbott, Keene, 1876-1941||1876-1941|0|0|
NA|L. A. Abbott|Abbott, L. A., 1813-||1813-|2|0|Possible Type 1: L. B. Abbott
Lyman Abbott|Lyman Abbott|Abbott, Lyman, 1835-1922|1835-1922|1835-1922|1|1|Found: via dates
Wilbur Cortez Abbott|Wilbur Cortez Abbott|Abbott, Wilbur Cortez|1869-1947||1|0|Found: via work_scan OpenL
Annie Heloise Abel|Annie Heloise Abel|Abel, Annie Heloise, 1873-1947|1873-1947|1873-1947|2|1|Found: via dates
NA|Franklin Abel|Abel, Franklin|||1|0|
Peter Abelard|Peter Abelard|Abelard, Peter, 1079-1142|1079-1142|1079-1142|1|1|Found: via dates
John Abercrombie (physician)|John Abercrombie|Abercrombie, John, 1780-1844|1780-1844|1780-1844|1|1|Found: via dates
Lascelles Abercrombie|Lascelles Abercrombie|Abercrombie, Lascelles, 1881-1938|1881-1938|1881-1938|2|1|Found: via dates
NA|Jon Olof Åberg|Åberg, J. O. (Jon Olof), 1843-1898||1843-1898|0|0|
George Robert Aberigh-Mackay|George Aberigh-Mackay|Aberigh-Mackay, George, 1848-1881|1848-1881|1848-1881|1|1|Found: via dates
Robert Abernathy|Robert Abernathy|Abernathy, Robert, 1924-1990|1924-1990|1924-1990|4|1|Found: via dates
Swami Abhedananda|Swami Abhedananda|Abhedananda, Swami, 1866-1939|1866-1939|1866-1939|1|1|Found: via dates
